id,race,passed,duration_seconds,called_tools,expected_tools,tool_ok,result_missing,answer_missing,errors,question
T01_barracks_outputs,Terran,True,14.08,"[""query_production_outputs""]","[""query_production_outputs""]",True,[],[],[],"What units can a Terran Barracks produce, and what are their mineral, gas, and supply costs?"
T02_factory_addon_split,Terran,True,24.49,"[""query_addon_branches""]","[""query_addon_branches""]",True,[],[],[],"For a Terran Factory, which units are available with a Tech Lab and which are available without a Tech Lab?"
T03_starport_reactor_vs_techlab,Terran,True,28.78,"[""resolve_entity_key"", ""query_addon_branches""]","[""query_addon_branches""]",True,[],[],[],"Which Terran Starport units are Reactor-compatible, and which Starport units require a Tech Lab?"
T04_battlecruiser_source_prereq,Terran,True,37.2,"[""resolve_entity_key"", ""query_reverse_production_sources"", ""query_tech_tree"", ""filter_attributes_and_resources""]","[""query_reverse_production_sources"", ""query_tech_tree""]",True,[],[],[],"Where is a Battlecruiser produced, what prerequisites does it require, and what does it cost?"
T05_barracks_dependency_impact,Terran,True,76.52,"[""resolve_entity_key"", ""query_dependency_impact"", ""query_tech_tree"", ""query_production_outputs"", ""query_research_outputs"", ""query_tech_tree"", ""query_tech_tree""]","[""query_dependency_impact"", ""query_tech_tree""]",True,[],[],[],"If the Terran Barracks is missing, which units, buildings, and upgrades become affected downstream?"
T06_ghost_ability_profile,Terran,True,59.97,"[""resolve_entity_key"", ""query_unit_abilities"", ""get_entity"", ""query_unit_abilities""]","[""query_unit_abilities""]",True,[],[],[],"What abilities does Ghost have, and for each ability what are the energy, range, cooldown, and target type?"
T07_terran_techlab_research,Terran,True,92.76,"[""query_research_outputs"", ""query_research_outputs"", ""query_research_outputs"", ""query_research_outputs"", ""query_research_outputs"", ""query_research_outputs"", ""query_research_outputs""]","[""query_research_outputs""]",True,[],[],[],"Which Terran upgrades require a Tech Lab, and which research building or add-on provides them?"
T08_marauder_reverse_source,Terran,True,29.9,"[""resolve_entity_key"", ""query_reverse_production_sources"", ""get_entity""]","[""query_reverse_production_sources""]",True,[],[],[],"A Marauder comes from which production building, what add-on is required, and what does it cost?"
T09_barracks_antiair,Terran,True,41.33,"[""resolve_entity_key"", ""query_combat_production_options""]","[""query_combat_production_options""]",True,[],[],[],"Using only the Barracks production path, which Terran units can attack air, and what are their costs and ranges?"
T10_terran_gas_units_sources,Terran,True,89.32,"[""query_gas_units_with_sources"", ""query_gas_units_with_sources"", ""filter_attributes_and_resources"", ""filter_attributes_and_resources""]","[""query_gas_units_with_sources""]",True,[],[],[],"List Terran units that cost gas, and include their production source, add-on requirement, and tech chain evidence."
